a_vinID,a_make,a_model,a_type,a_year,a_condition,a_price,a_color,a_location
1,Ford,Explorer,SUV,2014,Used,22180,Black,20
2,Dodge,Grand Caravan,Mini-Van,2016,Used,22954,Black,15
3,Dodge,Grand Caravan,Mini-Van,2016,Used,16551,Red,3
4,Dodge,Dart,Coupe,2020,Used,16909,Gray,13
5,Chevrolet,Tahoe,SUV,2016,Used,16413,Yellow,4
6,Subaru,WRX STI,Coupe,2022,New,29404,Black,17
7,Chevrolet,Tahoe,SUV,2016,Used,20445,Blue,8
8,Subaru,WRX STI,Coupe,2022,New,31979,Green,14
9,Chevrolet,Colorado,Pickup,2018,Used,20315,Red,18
10,Honda,Accord,Sedan,2017,Used,20601,Red,8
11,Dodge,Durango,SUV,2020,Used,18199,Blue,8
12,Dodge,Dart,Coupe,2020,Used,20035,White,9
13,Mercedes,GLE,SUV,2020,Used,17847,Yellow,9
14,Chevrolet,Cruze,Sedan,2016,Used,21902,Gray,21
15,Subaru,Outback,4x4,2013,Used,20971,Black,22
16,Chevrolet,Tahoe,SUV,2016,Used,17363,Yellow,17
17,Chevrolet,Trailblazer,SUV,2021,Used,22145,Gray,14
18,Ford,Bronco,4x4,2021,Used,15890,Blue,5
19,Honda,Pilot,SUV,2014,Used,18793,Green,16
20,Toyota,4Runner,4x4,2013,Used,18418,Black,10
21,Honda,Odyssey,Mini-Van,2013,Used,23529,Red,11
22,Honda,Odyssey,Mini-Van,2013,Used,21398,Blue,2
23,Subaru,Outback,4x4,2013,Used,18603,Blue,17
24,Toyota,Prius,Sedan,2018,Used,15966,Blue,6
25,Ford,Mustang,Coupe,2023,New,32582,Blue,15
26,Honda,CR-V,SUV,2023,New,32156,Red,17
27,Dodge,Grand Caravan,Mini-Van,2016,Used,19056,White,12
28,Chevrolet,Colorado,Pickup,2018,Used,15665,Black,16
29,Toyota,4Runner,4x4,2013,Used,20079,Red,4
30,Subaru,WRX STI,Coupe,2022,New,34520,Blue,8
31,Honda,CR-V,SUV,2023,New,33801,Yellow,7
32,Chevrolet,Trailblazer,SUV,2021,Used,23399,Gray,6
33,Toyota,4Runner,4x4,2013,Used,17765,Black,5
