m_name,m_email,m_address,m_city_state,m_model
Ford,ford@ford.com,66 North Oak Lane,"Herndon, VA ",Bronco
Ford,ford@ford.com,66 North Oak Lane,"Herndon, VA ",Explorer
Ford,ford@ford.com,66 North Oak Lane,"Herndon, VA ",Mustang
Ford,ford@ford.com,66 North Oak Lane,"Herndon, VA ",Escape
Ford,ford@ford.com,66 North Oak Lane,"Herndon, VA ",Edge
Chevrolet,chevrolet@chevrolet.com,53 St Paul Drive,"Montgomery, AL ",Tahoe
Chevrolet,chevrolet@chevrolet.com,53 St Paul Drive,"Montgomery, AL ",Colorado
Chevrolet,chevrolet@chevrolet.com,53 St Paul Drive,"Montgomery, AL ",Trailblazer
Chevrolet,chevrolet@chevrolet.com,53 St Paul Drive,"Montgomery, AL ",Cruze
Chevrolet,chevrolet@chevrolet.com,53 St Paul Drive,"Montgomery, AL ",Silverado
Honda,honda@honda.com,55 Oak Valley Drive,"Mays Landing, NJ ",Pilot
Honda,honda@honda.com,55 Oak Valley Drive,"Mays Landing, NJ ",CR-V
Honda,honda@honda.com,55 Oak Valley Drive,"Mays Landing, NJ ",Accord
Honda,honda@honda.com,55 Oak Valley Drive,"Mays Landing, NJ ",Civic
Honda,honda@honda.com,55 Oak Valley Drive,"Mays Landing, NJ ",Odyssey
Toyota,toyota@toyota.com,9090 Mulberry Lane,"Whitestone, NY ",Corolla
Toyota,toyota@toyota.com,9090 Mulberry Lane,"Whitestone, NY ",4Runner
Toyota,toyota@toyota.com,9090 Mulberry Lane,"Whitestone, NY ",Prius
Mercedes,mercedes@mercedes.com,287 Wayne Dr.,"Ormond Beach, FL",GLE
Mercedes,mercedes@mercedes.com,287 Wayne Dr.,"Ormond Beach, FL",E-Class
BMW,bmw@bmw.com,671 Lakeshore Dr.,"Suwanee, GA ",X3
BMW,bmw@bmw.com,671 Lakeshore Dr.,"Suwanee, GA ",M3
BMW,bmw@bmw.com,671 Lakeshore Dr.,"Suwanee, GA ",M8
Dodge,dodge@dodge.com,63 Glenridge St.,"Stroudsburg, PA ",Durango
Dodge,dodge@dodge.com,63 Glenridge St.,"Stroudsburg, PA ",Charger
Dodge,dodge@dodge.com,63 Glenridge St.,"Stroudsburg, PA ",Dart
Dodge,dodge@dodge.com,63 Glenridge St.,"Stroudsburg, PA ",Grand Caravan
Dodge,dodge@dodge.com,63 Glenridge St.,"Stroudsburg, PA ",Challenger
Subaru,subaru@subaru.com,400 Railroad Court,"Clarksville, TN",WRX STI
Subaru,subaru@subaru.com,400 Railroad Court,"Clarksville, TN",Outback
