s_name,s_phone,s_city,s_state,s_email,s_make,s_model,s_year
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,BMW,M8,2023
Michael's Car Sales,941-747-4397,Sacramento,CA,michael'scarsales@michael's.edu,Subaru,Outback,2018
3 Brothers Autos,888-970-4289,Las Vegas,NV,brothersautos@3 brothers.edu,Dodge,Dart,2023
Merced Cars,966-611-5013,Merced,CA,mercedcars@yahoo.com,BMW,M8,2023
Jay's Auto Sales,986-657-0382,Fresno,CA,jaysautosales@yahoo.com,Chevrolet,Cruze,2016
Top Notch Sales,911-240-5874,Los Angeles,CA,topnotchsales@top.edu,Toyota,4Runner,2022
Jay's Auto Sales,986-657-0382,Fresno,CA,jaysautosales@yahoo.com,Dodge,Challenger,2020
Michael's Car Sales,941-747-4397,Sacramento,CA,michael'scarsales@michael's.edu,Ford,Mustang,2018
Jay's Auto Sales,986-657-0382,Fresno,CA,jaysautosales@yahoo.com,Dodge,Grand Caravan,2021
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,Ford,Bronco,2015
Johnson Auto Sales,829-281-0951,Portland,OR,johnsonautosales@johnson.edu,Honda,Pilot,2015
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,BMW,M8,2023
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,BMW,M8,2023
American Car Sales,770-376-6607,San Jose,CA,americancarsales@gmail.com,Chevrolet,Colorado,2014
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,Chevrolet,Silverado,2015
American Car Sales,770-376-6607,San Jose,CA,americancarsales@gmail.com,Chevrolet,Silverado,2015
Merced Cars,966-611-5013,Merced,CA,mercedcars@yahoo.com,Toyota,Prius,2016
Top Notch Sales,911-240-5874,Los Angeles,CA,topnotchsales@top.edu,Mercedes,E-Class,2017
Johnson Auto Sales,829-281-0951,Portland,OR,johnsonautosales@johnson.edu,Dodge,Dart,2023
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,BMW,M8,2023
Michael's Car Sales,941-747-4397,Sacramento,CA,michael'scarsales@michael's.edu,Ford,Bronco,2015
Michael's Car Sales,941-747-4397,Sacramento,CA,michael'scarsales@michael's.edu,Ford,Mustang,2018
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,Mercedes,E-Class,2017
American Car Sales,770-376-6607,San Jose,CA,americancarsales@gmail.com,Ford,Bronco,2015
Top Notch Sales,911-240-5874,Los Angeles,CA,topnotchsales@top.edu,Dodge,Charger,2013
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,Honda,Civic,2017
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,Chevrolet,Cruze,2016
3 Brothers Autos,888-970-4289,Las Vegas,NV,brothersautos@3 brothers.edu,Ford,Excape,2017
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,Mercedes,E-Class,2017
Michael's Car Sales,941-747-4397,Sacramento,CA,michael'scarsales@michael's.edu,Dodge,Grand Caravan,2021
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,Ford,Bronco,2015
3 Brothers Autos,888-970-4289,Las Vegas,NV,brothersautos@3 brothers.edu,Dodge,Challenger,2020
Michael's Car Sales,941-747-4397,Sacramento,CA,michael'scarsales@michael's.edu,Toyota,Corolla,2013
Central Valley Auto Connection,915-485-6192,Fresno,CA,centralvalleyautoconnection@central.edu,Ford,Explorer,2013
Jay's Auto Sales,986-657-0382,Fresno,CA,jaysautosales@yahoo.com,Honda,Pilot,2015
3 Brothers Autos,888-970-4289,Las Vegas,NV,brothersautos@3 brothers.edu,Ford,Explorer,2013
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,Chevrolet,Silverado,2015
Premiere Sales,772-693-1703,Reno,NV,premieresales@premiere.edu,Dodge,Charger,2013
Top Notch Sales,911-240-5874,Los Angeles,CA,topnotchsales@top.edu,Toyota,4Runner,2022
UCM Used Autos,898-578-2578,Merced,CA,ucmusedautos@ucm.edu,Dodge,Challenger,2020
3 Brothers Autos,888-970-4289,Las Vegas,NV,brothersautos@3 brothers.edu,BMW,M3,2020
Johnson Auto Sales,829-281-0951,Portland,OR,johnsonautosales@johnson.edu,Chevrolet,Cruze,2016
